Page,Title,Brand,Reference,Category,Subcategory,Availability,PriceHT,PriceTTC,SalePriceHT,SalePriceTTC,DiscountPercentage,ID,dateDebutPromo,dateFinPromo,product url,EAN
1,YCOO - Mini Robot Dinosaure à construire - Biopod Cyberpunk,Ycoo,882859,Jeux électroniques,Robots,Available in central stock,10.83,12.99,5.41,6.49,50.0,240685,2025-01-01T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-electroniques/robots/ref-882859-ycoo---mini-robot-dinosaure-a-construire---biopod-cyberpunk.htm,4891813880875.0
1,71729 - Playmobil Action Heroes - Voiture police avec sirène et gyrophare,Playmobil,982937,Jeux d'imitation & Mondes imaginaires,Playmobil,Available in central stock,37.49,44.99,33.33,39.99,11.0,320428,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/playmobil/ref-982937-71729---playmobil-action-heroes---voiture-police-avec-sirene-et-gyrophare.htm,4008789717290.0
1,Peluche Interactive Angel Real FX,WOW Stuff,984858,Peluches,Peluches interactives,Available in central stock,45.83,54.99,41.66,49.99,9.0,322764,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/peluches/peluches/ref-984858-peluche-interactive-angel-real-fx.htm,5055394028135.0
1,Robot Octobot radiocommandé,Ycoo,952623,Jeux électroniques,Robots,Available in central stock,19.99,23.99,18.33,21.99,8.0,290423,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-electroniques/robots/ref-952623-robot-octobot-radiocommande.htm,4891813885276.0
1,Voiture électrique Lamborghini Aventador jaune 2 places 24V,SUN and SPORT,978082,Jeux d'extérieur,Voitures électriques,Available in central stock,333.33,399.99,316.66,379.99,5.0,319853,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/voitures/ref-978082-voiture-electrique-lamborghini-aventador-jaune-2-places-24v.htm,8053735027882.0
1,Bowling de la Jungle,Chicco,205767,Jeux d'éveil,Activités d'éveil,Available in central stock,23.33,27.99,16.66,19.99,29.0,82389,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-deveil/activites/ref-205767-bowling-de-la-jungle.htm,8003670826798.0
1,Ma première Ardoise,Chicco,867256,Jeux et jouets éducatifs,Premiers apprentissages,Available in central stock,28.33,33.99,20.83,24.99,26.0,235446,2025-03-18T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-et-jouets-educatifs/premiers/ref-867256-ma-premiere-ardoise.htm,8058664148868.0
1,Dinosaure Super Colossal Atrociraptor - Jurassic World,Mattel,884846,Jeux d'imitation & Mondes imaginaires,Figurines,Available in central stock,91.66,109.99,45.83,54.99,50.0,240877,2025-01-16T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dimitation--mondes-imaginaires/figurines/ref-884846-dinosaure-super-colossal-atrociraptor---jurassic-world.htm,194735042845.0
1,Quad électrique R-Quad Black 6 volt,SUN and SPORT,250326,Jeux d'extérieur,Quads électriques,Not available,74.99,89.99,59.99,71.99,20.0,203301,2025-03-04T00:00:00,2025-12-31T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/quads/ref-250326-quad-electrique-r-quad-black-6-volt.htm,8053735014998.0
1,Voiture électrique rose et blanche 6V,SUN and SPORT,978079,Jeux d'extérieur,Voitures électriques,Available in central stock,141.66,169.99,133.33,159.99,6.0,319778,2025-03-19T00:00:00,2025-05-05T23:59:59,https://www.king-jouet.com/jeu-jouet/jeux-dexterieur/voitures/ref-978079-voiture-electrique-rose-et-blanche-6v.htm,8053735027806.0
